,CIK,CONAME,FYRMO,FDATE,FORM,SECFNAME,pos_score,neg_score,pol_score,avg_sent_length,perc_complex_words,fog_index,complex_word_count,word_count,uncertainity_score,constrain_score,pos_word_proportion,neg_word_proportion,neg_word_proportion,constraint_proportion,constraining_words_whole_report
0,3662,SUNBEAM CORP/FL/,199803,1998-03-06,10-K405,edgar/data/3662/0000950170-98-000413.txt,614,3452,-0.6979832757752131,15.976874681176671,71.02703277990635,34.80156298443321,66737,93960,940,1487,0.006534695615155385,0.03673903788846317,0.03673903788846317,0.015825883354618986,0.007942607131317189
1,3662,SUNBEAM CORP/FL/,199805,1998-05-15,10-Q,edgar/data/3662/0000950170-98-001001.txt,341,1723,-0.669573643086447,15.848524418908331,69.23076923076923,34.031717459871025,42012,60684,859,1046,0.005619273614132226,0.028392986619207698,0.028392986619207698,0.017236833432206184,0.007942607131317189
2,3662,SUNBEAM CORP/FL/,199808,1998-08-13,NT 10-Q,edgar/data/3662/0000950172-98-000783.txt,3,7,-0.39999996000000404,33.72222222222222,57.99011532125206,36.68493501738972,352,607,9,5,0.004942339373970346,0.011532125205930808,0.011532125205930808,0.008237232289950576,0.007942607131317189
3,3662,SUNBEAM CORP/FL/,199811,1998-11-12,10-K/A,edgar/data/3662/0000950170-98-002145.txt,233,1579,-0.7428256066540697,12.809293580445877,69.97840172786177,33.11507812332306,33372,47689,553,716,0.004885822726414897,0.033110360879867476,0.033110360879867476,0.01501394451550672,0.007942607131317189
4,3662,SUNBEAM CORP/FL/,199811,1998-11-16,NT 10-Q,edgar/data/3662/0000950172-98-001203.txt,4,7,-0.2727272479338866,34.95238095238095,58.17438692098093,37.25070714934475,427,734,10,4,0.005449591280653951,0.009536784741144414,0.009536784741144414,0.005449591280653951,0.007942607131317189
5,3662,SUNBEAM CORP/FL/,199811,1998-11-25,10-Q/A,edgar/data/3662/0000950170-98-002278.txt,40,426,-0.8283261784799868,14.5359375,70.56863377405138,34.04182850962055,6565,9303,179,91,0.004299688272600236,0.04579168010319252,0.04579168010319252,0.009781790820165538,0.007942607131317189
6,3662,SUNBEAM CORP/FL/,199812,1998-12-22,10-Q,edgar/data/3662/0000950170-98-002401.txt,97,622,-0.7301808056603883,14.467220683287165,69.0515700791422,33.40751630497174,10819,15668,279,271,0.0061909624712790405,0.03969874904263467,0.03969874904263467,0.017296400306356905,0.007942607131317189
7,3662,SUNBEAM CORP/FL/,199812,1998-12-22,10-Q,edgar/data/3662/0000950170-98-002402.txt,51,378,-0.7622377604609842,13.457182320441989,70.92271374320025,33.7519584254569,6910,9743,201,105,0.005234527352971364,0.03879708508672893,0.03879708508672893,0.010776968079646926,0.007942607131317189
8,3662,SUNBEAM CORP/FL/,199903,1999-03-31,NT 10-K,edgar/data/3662/0000950172-99-000362.txt,3,5,-0.24999996875000394,33.8,58.28402366863905,36.833609467455624,394,676,8,3,0.004437869822485207,0.0073964497041420114,0.0073964497041420114,0.004437869822485207,0.007942607131317189
9,3662,SUNBEAM CORP/FL/,199905,1999-05-11,10-K,edgar/data/3662/0000950170-99-000775.txt,278,1779,-0.7297034512738437,12.771967654986524,72.21424953570826,33.99448687627792,34218,47384,668,501,0.005866959311159885,0.03754431875738646,0.03754431875738646,0.01057318926219821,0.007942607131317189
10,3662,SUNBEAM CORP/FL/,199905,1999-05-17,NT 10-Q,edgar/data/3662/0000950172-99-000584.txt,3,5,-0.24999996875000394,34.15,57.24743777452416,36.55897510980966,391,683,13,3,0.004392386530014641,0.007320644216691069,0.007320644216691069,0.004392386530014641,0.007942607131317189
11,3662,SUNBEAM CORP/FL/,199906,1999-06-11,10-Q,edgar/data/3662/0000950170-99-001005.txt,59,395,-0.7400881040967222,15.751304347826087,72.23142320856796,35.193091022557624,6542,9057,204,82,0.006514298332781274,0.043612675278789884,0.043612675278789884,0.009053770564204483,0.007942607131317189
12,3662,SUNBEAM CORP/FL/,199908,1999-08-16,NT 10-Q,edgar/data/3662/0000950172-99-001074.txt,3,4,-0.1428571224489825,35.27777777777778,57.95275590551181,37.29221347331584,368,635,7,3,0.004724409448818898,0.006299212598425197,0.006299212598425197,0.004724409448818898,0.007942607131317189
13,3662,SUNBEAM CORP/FL/,199908,1999-08-19,10-Q,edgar/data/3662/0000950170-99-001361.txt,132,557,-0.6168359932992221,13.572227399813606,71.91512737760077,34.194941910965746,10473,14563,312,150,0.009064066469820779,0.03824761381583465,0.03824761381583465,0.01030007553388725,0.007942607131317189
14,3662,SUNBEAM CORP/FL/,199911,1999-11-08,10-K/A,edgar/data/3662/0000889812-99-003241.txt,177,1408,-0.7766561509295544,11.624143556280588,72.17918491074435,33.521331386809976,25716,35628,665,336,0.004968002694509936,0.03951947906141237,0.03951947906141237,0.009430784776018861,0.007942607131317189
15,3662,SUNBEAM CORP/FL/,199911,1999-11-08,10-Q/A,edgar/data/3662/0000950170-99-001639.txt,135,693,-0.6739130426643563,13.506504770164787,72.2018878828742,34.2833570612156,11244,15573,342,168,0.008668849932575612,0.04450009632055481,0.04450009632055481,0.010787902138316317,0.007942607131317189
16,3662,SUNBEAM CORP/FL/,199911,1999-11-08,10-Q/A,edgar/data/3662/0000950170-99-001640.txt,101,671,-0.7383419679555155,14.604578563995839,72.24082650516566,34.7381620276646,10139,14035,316,156,0.007196294976843605,0.04780904880655504,0.04780904880655504,0.011115069469184183,0.007942607131317189
